customer_id,age,gender,income,location,joined_date,email,phone,total_spent,purchase_frequency,last_purchase_days,preferred_category
C0000,56,F,14229,South Lacey,2024-05-16,westyesenia@example.com,+1-490-892-3142x4825,0,4,298,Home
C0001,69,M,19407,West Samantha,2023-12-23,gina84@example.com,001-638-960-4251,269,3,233,Beauty
C0002,46,M,35783,Lake David,2020-10-09,sara54@example.org,+1-813-728-7895x14375,369,1,271,Beauty
C0003,32,M,23311,Evansport,2021-11-02,qmalone@example.net,6496456459,28,7,60,Electronics
C0004,60,M,55699,West Darlene,2021-04-03,fritzbridget@example.org,001-819-261-7575x1031,11263,83,296,Beauty
C0005,25,M,25779,Michaelburgh,2021-06-30,tammy36@example.net,611.707.5162,128,3,235,Home
C0006,38,M,23785,Lake Christopher,2024-06-15,carlapadilla@example.com,506-227-3562,181,3,165,Beauty
C0007,56,M,19464,Whiteville,2021-03-03,samantha79@example.net,889-241-6960x8678,181,3,194,Fashion
C0008,36,M,23235,New Jamesmouth,2024-11-13,mwells@example.org,(872)407-1505,130,3,234,Fashion
C0009,40,F,20723,Jameston,2023-02-22,dianamills@example.com,713.986.0105x438,0,1,183,Sports
C0010,28,F,29238,Nancyside,2023-06-09,sophiascott@example.org,(347)285-1489x65815,653,1,333,Beauty
C0011,28,F,32295,Kaitlynside,2020-09-13,lisarodriguez@example.com,001-270-358-2480,39389,98,232,Fashion
C0012,41,F,16084,Russellmouth,2022-08-08,dpalmer@example.net,216-462-3562x689,126,0,361,Electronics
C0013,53,F,12932,New Davidburgh,2021-02-12,kellymoyer@example.net,(385)657-4142x515,543,3,107,Fashion
C0014,57,M,10567,North Melissaland,2023-09-28,masseycorey@example.org,001-819-280-4881x7227,677,3,223,Fashion
C0015,41,F,26989,Joannfort,2024-01-26,taylortate@example.com,+1-925-687-5791,943,0,80,Electronics
C0016,20,F,14166,Ivanmouth,2024-03-31,joshua87@example.net,(477)767-0579,274,2,234,Electronics
C0017,39,F,9309,South Michaelchester,2022-11-08,ibean@example.net,001-602-697-2496x694,180,1,184,Beauty
C0018,19,M,25730,New Brian,2022-05-12,zhall@example.net,+1-306-617-6684,196,2,185,Electronics
C0019,41,M,59706,Patrickmouth,2022-07-02,tylersexton@example.net,815.772.1991x9714,623,4,134,Home
C0020,61,M,21973,Ortizville,2025-07-24,katelynarmstrong@example.org,384-679-6905x698,848,4,220,Electronics
C0021,47,M,30803,New Christopherside,2020-11-09,rmiller@example.com,(626)243-2011x57230,100,1,288,Fashion
C0022,55,F,22759,Bowenmouth,2023-01-19,ashleycole@example.net,326-781-3898x89647,231,3,364,Electronics
C0023,19,F,21172,Cookville,2021-07-01,serranochristopher@example.com,+1-240-565-9178x6085,1161,3,202,Electronics
C0024,38,M,31813,East Kellibury,2022-02-03,robertcuevas@example.com,001-383-316-6813x47662,821,2,146,Beauty
C0025,50,Other,19611,Whiteport,2023-03-17,rsanchez@example.com,2354071598,19260,67,324,Beauty
C0026,29,F,24512,Leonhaven,2022-08-21,racheljohnson@example.com,8392925450,701,3,127,Electronics
C0027,39,M,25051,South Davidstad,2022-01-09,lthomas@example.net,3996840956,249,2,135,Fashion
C0028,61,M,16861,New Kimburgh,2020-09-27,mitchellamy@example.org,4373851425,446,3,114,Fashion
C0029,42,M,32755,New Anthonyview,2024-11-05,justin03@example.com,001-232-966-8644,540,2,264,Beauty
C0030,66,M,20537,North Autumnborough,2025-03-28,jo75@example.com,(878)536-9898x6584,40,1,64,Beauty
C0031,44,M,16280,New Sarahshire,2021-12-09,galvanbrittany@example.com,986.674.9931x2769,393,0,135,Fashion
C0032,59,M,27298,South Jamietown,2020-09-10,sandersgregory@example.net,718-223-6407x749,617,3,41,Home
C0033,45,M,15376,Masonburgh,2024-06-06,baileyryan@example.com,983-332-0669x7611,91,4,296,Beauty
C0034,33,M,22276,Chelseafort,2023-09-12,mcneilhaley@example.net,450.203.3542x75267,758,4,3,Electronics
C0035,32,F,21946,Lake Luismouth,2022-12-04,pittsjoseph@example.org,4664823071,438,3,194,Fashion
C0036,64,M,34008,Anneview,2023-06-23,zsimmons@example.com,9192595040,1520,3,110,Sports
C0037,68,F,26632,Tinatown,2022-08-28,taylor01@example.com,001-379-419-3397x966,21,6,221,Home
C0038,61,M,21807,Mccallton,2023-11-01,karnold@example.org,636-902-4148x18492,154,4,4,Fashion
C0039,69,Other,30549,Haasburgh,2020-10-15,allenlori@example.net,+1-398-901-7107x5789,460,4,244,Fashion
C0040,20,M,38410,South Jeffrey,2021-08-19,holly73@example.org,330.713.2591x01993,175,5,166,Fashion
C0041,54,M,27532,East Jameshaven,2022-04-25,dianaavery@example.com,(864)256-3346x7480,626,1,26,Fashion
C0042,68,F,22117,Millerberg,2023-10-31,john55@example.com,665.901.0118x9753,711,4,17,Home
C0043,24,F,13033,Port Kimberly,2021-02-06,ericksondenise@example.com,(411)770-0036,54,2,216,Fashion
C0044,38,F,14385,Hoodfurt,2025-02-18,dianawhite@example.com,991.614.0130x34548,360,4,92,Home
C0045,26,M,19494,Lindastad,2021-07-01,lewisdawn@example.org,001-400-898-4284x993,355,5,31,Beauty
C0046,56,M,17260,Masonhaven,2024-11-17,irodriguez@example.com,762-381-4633,230,2,205,Electronics
C0047,35,F,20439,Perezside,2020-11-10,yolandalopez@example.net,521-931-7709x18740,1350,4,207,Fashion
C0048,21,F,22531,Leemouth,2023-10-25,alan52@example.net,547-316-7173x8985,878,1,107,Fashion
C0049,42,F,27224,West Josephfurt,2020-11-03,campbellstephen@example.org,+1-586-586-7327,597,2,146,Home
C0050,31,F,21414,East Jocelynport,2022-02-19,sheila10@example.org,+1-282-501-3827x6000,626,4,101,Electronics
C0051,67,M,26758,Lake Stephaniemouth,2023-01-19,kgarza@example.org,9309910962,309,1,318,Home
C0052,26,F,22601,Clarkchester,2021-04-08,ajimenez@example.net,224.544.6617x243,1269,1,241,Beauty
C0053,43,M,9994,West Davidberg,2021-05-19,umcguire@example.net,+1-202-742-0343,42099,63,247,Fashion
C0054,19,M,15127,New Alejandroview,2022-12-30,stuart36@example.org,(778)626-0126x7913,652,3,163,Sports
C0055,37,M,20792,South Emily,2021-11-28,elizabeth54@example.org,001-535-828-3610x7461,989,3,173,Sports
C0056,45,F,13576,Nicholasshire,2021-12-11,molinacharles@example.com,+1-505-917-9532x88100,160,4,35,Electronics
C0057,64,M,28000,West Josephton,2024-09-22,diazdiana@example.com,(751)577-5684,31352,98,284,Electronics
C0058,24,M,40631,Whiteshire,2024-11-21,dominiquebrown@example.com,001-794-215-7197x583,108,3,359,Sports
C0059,61,F,35864,New Cynthia,2024-01-08,mford@example.net,489.231.2193,211,6,358,Sports
C0060,25,M,20223,Deborahchester,2022-03-14,dfoster@example.org,+1-874-256-5287x426,204,2,21,Electronics
C0061,64,F,39986,Dustinshire,2022-02-11,sean07@example.com,(398)537-2918x6672,1920,2,308,Electronics
C0062,52,M,23376,Garrisonberg,2023-08-14,meganspears@example.com,(719)297-8636,970,2,163,Electronics
C0063,31,F,19248,Lake Krista,2024-02-20,sarah02@example.net,+1-914-403-2958x774,603,4,97,Sports
C0064,34,F,17233,New Marissachester,2024-03-29,chrisbowman@example.org,+1-993-693-6534x09605,649,1,307,Electronics
C0065,53,M,19516,Bairdburgh,2022-04-07,lambertlinda@example.com,287.425.2919x29511,412,4,339,Fashion
C0066,67,M,18858,North Alexisborough,2025-02-16,jonesthomas@example.com,(928)968-5022,1469,3,55,Beauty
C0067,57,M,23580,Port Davidberg,2023-07-11,milleramber@example.com,001-509-256-9825x69133,342,3,333,Electronics
C0068,21,M,23487,Lisafort,2023-05-23,kmartinez@example.net,823.718.4584x36395,239,5,127,Home
C0069,19,Other,22053,West Alexandriafort,2024-07-04,davidjohnston@example.org,001-976-900-7611,88,3,193,Electronics
C0070,23,M,26233,Hallfort,2023-01-30,qholloway@example.org,887-341-4242x759,771,1,243,Beauty
C0071,59,F,35463,Lake Monica,2024-01-29,nalexander@example.net,2248487731,662,1,349,Electronics
C0072,21,M,32203,Port Steve,2020-11-26,sheila41@example.org,+1-394-256-3146,242,3,88,Home
C0073,46,F,12161,East Jasonport,2021-06-04,rebeccarodriguez@example.org,840-838-2799,12,5,336,Home
C0074,35,F,7930,Lake Janet,2023-09-14,jameslittle@example.org,202-551-5476,913,4,215,Electronics
C0075,43,F,32007,Obrienfurt,2022-08-17,isaiah52@example.net,977.981.8363,5,2,92,Electronics
C0076,61,M,12749,Ferrellberg,2021-01-22,jlucas@example.net,272-998-9108x513,608,7,303,Fashion
C0077,51,M,20132,South William,2024-10-01,bergkristen@example.net,818.914.0761,1757,0,235,Electronics
C0078,27,M,13793,New Ashley,2020-08-28,fergusonalexander@example.com,905-370-0712x2113,287,4,184,Beauty
C0079,53,F,10712,Port Robertton,2022-12-15,lcarter@example.org,(477)714-2855,133,2,38,Beauty
C0080,31,F,27353,Williamfort,2022-02-06,jose34@example.net,844-382-1750,610,3,139,Fashion
C0081,48,F,29841,Adamsborough,2024-09-05,andremathis@example.com,001-788-219-2890x1516,11022,81,195,Home
